Year,Team,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,StREM,StREM Rank,StROE,StROE Rank,StRDE,StRDE Rank,StRT+,StRT+ Rank,Barthag-AN,AN Rank,Barthag-H,AN-H AVG,ANH Rank,Barthag-Mom,Mom Rank,Barthag-N,NonCon Rank,AB6R,champfilter,champfilter rank,powerfilter,powerfilter rank,DV1,DV2,RPPF,RPPF Rank,INDEX Rank,Wins,tempname,Seed,Region,YEAR
2023,Missouri,70.2468,69,69.1078,92,112.445,18,119.289,10,105.612,241,105.37,178,13.9186,51,0.198144257,54,999602.5173,7,24.53130334,132,93,85,0.8408,31,0.7765,0.80865,57,0.782,62,0.844,43,52.66666667,62.63875674,41,65.12912467,44,0.659698709,0.594172223,0.829638955,45,45,1,Missouri,7,S,2023
2023,Penn St.,64.5546,334,64.6096,313,109.964,40,116.826,17,104.26,209,101.79,101,15.0367,39,0.23291911,37,881061.4688,41,25.25811804,175,106,101,0.8097,47,0.8692,0.83945,40,0.8053,54,0.8269,52,55,67.92639249,47,65.51908988,46,0.630169716,0.616343061,0.82768807,47,47,1,Penn St.,10,M,2023
2023,Arizona St.,69.1548,121,68.4035,131,100.983,236,107.586,133,96.9713,48,95.2101,28,12.3762,68,0.178959378,71,800449.3412,117,21.18705063,24,47.5,40,0.7896,55,0.8117,0.80065,61,0.8094,50,0.8254,53,66.58333333,84.32539683,56,83.16159787,58,0.601379396,0.570592441,0.807522946,56,56,0,Arizona St.,11,W,2023
2023,VCU,68.432,159,68.0086,147,104.381,150,107.195,140,92.132,6,94.0449,17,13.1498,58,0.192163023,56,786336.2375,130,20.99312857,21,38.5,34,0.7892,56,0.7804,0.7848,71,0.8764,22,0.6716,102,69.91666667,88.59182294,62,89.08851512,67,0.598115362,0.554504326,0.80216261,61,61,0,VCU,12,W,2023
2023,Iona,68.9173,133,68.8987,102,110.689,35,110.856,79,94.0259,12,99.1448,67,11.7114,74,0.169931207,75,846928.3341,67,22.68316496,55,65,63,0.7414,74,0.8681,0.80475,58,0.8201,45,0.8432,44,59,79.57917453,55,73.314694,53,0.567949711,0.582620507,0.801591776,62,62,0,Iona,13,W,2023
2023,Kent St.,69.3536,109,68.0538,144,108.778,64,108.347,110,95.6199,32,96.4498,38,11.8972,71,0.171544087,74,814146.9322,101,21.56816121,29,51.5,45,0.7633,68,0.7999,0.7816,73,0.7369,79,0.8923,21,66.58333333,87.23088344,61,85.18850222,65,0.579382641,0.555342086,0.797157634,64,64,0,Kent St.,13,M,2023
2023,Drake,66.685,243,66.4238,222,108.714,65,109.84,98,94.3924,16,97.3312,44,12.5086,66,0.187580415,61,804542.8951,112,22.76015257,58,59.5,57,0.7479,72,0.8452,0.79655,63,0.8653,26,0.6373,117,73.08333333,97.718055,72,91.74983784,70,0.561284819,0.560739356,0.793576662,69,69,0,Drake,12,M,2023
2023,Charleston,70.8386,44,70.9567,29,112.46,17,111.378,70,94.3072,14,99.6171,74,11.7607,73,0.166023891,76,878757.0043,44,22.23638895,45,60.5,58,0.741,75,0.819,0.78,74,0.7291,82,0.7838,66,67.08333333,90.53081422,65,86.0042735,66,0.560371203,0.553545416,0.791277971,71,71,0,Charleston,12,S,2023
2023,Pittsburgh,68.139,174,67.3196,174,111.897,22,115.103,24,103.731,192,103.837,142,11.2663,77,0.165338499,77,902753.2108,26,24.70402146,143,110,105,0.7843,59,0.7432,0.76375,79,0.6132,122,0.7375,76,81.66666667,104.1268222,74,106.9285325,80,0.584875188,0.527458362,0.790827961,72,72,1,Pittsburgh,11,M,2023
2023,Oral Roberts,70.7367,47,70.4986,38,116.53,3,115.289,23,99.0034,79,102.04,107,13.2487,56,0.187300227,63,940200.6339,17,23.14130917,74,68.5,69,0.7284,80,0.8098,0.7691,78,0.847,35,0.6497,108,61.58333333,84.54603698,58,80.07194556,56,0.554622975,0.550708048,0.788832773,73,73,0,Oral Roberts,12,E,2023
2023,Furman,68.8397,138,68.4584,124,115.465,6,114.2,33,102.412,154,105.775,183,8.42507,89,0.122385774,90,897782.5851,30,25.18685172,172,131,123,0.735,78,0.6395,0.68725,101,0.7591,71,0.5355,161,97.33333333,132.4263039,91,141.6272584,97,0.535090398,0.458242169,0.755833038,92,92,1,Furman,13,S,2023
2023,Louisiana,68.6612,147,68.4083,130,109.745,42,112.243,57,102.034,143,104.042,146,8.20091,92,0.119441548,92,865027.5136,57,24.59362337,136,114,106,0.6314,106,0.8234,0.7274,89,0.6963,94,0.5835,140,97.66666667,154.6827157,98,134.2681697,94,0.452582381,0.488259073,0.739596044,95,95,0,Louisiana,13,E,2023
2023,Montana St.,67.107,223,66.4692,221,105.386,133,105.36,170,99.0737,80,99.6121,72,5.74793,110,0.085652763,109,744936.6613,189,23.47099653,83,96,90,0.67,99,0.7353,0.70265,95,0.7185,86,0.6546,104,113.1666667,168.9054726,103,161.0569511,104,0.476044635,0.461041772,0.738413889,96,96,0,Montana St.,14,E,2023
2023,Princeton,68.3492,164,67.4503,171,108.055,74,109.093,103,99.565,89,103.527,137,5.5658,112,0.08143475,112,813443.148,102,24.51051131,131,121.5,112,0.6923,91,0.6219,0.6571,108,0.5103,157,0.667,103,117.25,169.3629929,104,178.4355501,109,0.491756064,0.425666972,0.732176622,98,98,2,Princeton,15,S,2023
2023,Colgate,68.0072,179,67.8783,156,114.974,7,112.963,44,101.683,138,107.67,231,5.29267,114,0.077829994,113,867815.3537,54,26.2299007,220,166.5,163,0.7011,88,0.5864,0.64375,116,0.6688,105,0.5728,146,116.75,166.5240337,102,181.3592233,111,0.498849474,0.416172564,0.731409544,100,100,0,Colgate,15,M,2023
2023,Grand Canyon,65.9325,281,65.1541,293,108.542,67,112.317,54,103.639,188,106.325,198,5.99141,109,0.090880825,108,831745.6405,81,26.51655393,237,172.5,171,0.629,107,0.6476,0.6383,117,0.7801,65,0.6731,100,107.25,170.508744,105,168.0244399,107,0.446491529,0.416607368,0.714516441,110,110,0,Grand Canyon,14,W,2023
2023,Vermont,65.4601,306,64.6048,314,109.144,55,109.778,99,100.594,109,104.357,153,5.42124,113,0.082813806,111,788873.3649,127,25.92136532,205,158,150,0.5858,121,0.7941,0.68995,100,0.6291,118,0.6028,131,124.1666667,211.9608513,118,179.9647317,110,0.406875037,0.446470587,0.711275727,113,113,0,Vermont,15,E,2023
2023,UC Santa Barbara,65.2422,313,64.9567,302,109.642,46,111.335,71,100.429,106,104.693,163,6.6422,102,0.101805273,100,808708.5304,108,26.14204961,216,158,150,0.6226,110,0.6226,0.6226,122,0.5519,145,0.5946,133,127.6666667,205.0540743,115,205.0540743,119,0.433869898,0.396368584,0.70350817,115,115,0,UC Santa Barbara,14,S,2023
2023,Kennesaw St.,69.1918,118,68.5425,118,105.334,134,106.304,153,101.312,130,102.661,116,3.64263,127,0.052650748,128,781904.7324,135,23.88879017,104,116,109,0.6041,115,0.6516,0.62785,121,0.6555,112,0.539,159,128.5,212.713127,119,204.6667198,118,0.419436915,0.399805399,0.699766185,116,116,0,Kennesaw St.,14,M,2023
2023,Northern Kentucky,63.1624,352,62.0433,358,104.474,148,103.337,217,100.362,104,102.82,121,0.516867,161,0.008185249,160,674481.935,278,26.2340617,221,190.5,197,0.4467,180,0.5594,0.50305,173,0.5759,134,0.3212,247,197.0833333,441.198418,192,391.776828,190,0.28832998,0.295362238,0.611028634,182,182,0,Northern Kentucky,16,M,2023
2023,UNC Asheville,68.6291,150,68.5066,121,104.637,145,104.141,195,99.299,82,102.635,115,1.50642,146,0.021944044,146,744306.4643,191,24.07489907,113,129.5,120,0.4396,184,0.5218,0.4807,187,0.5087,158,0.3418,240,175.25,398.6578708,184,364.5724984,176,0.286638745,0.284790038,0.60586079,185,185,0,UNC Asheville,15,W,2023
2023,Texas A&M Corpus Chris,70.668,53,69.2572,80,109.864,41,107.367,137,102.144,147,107.592,229,-0.225051,170,-0.003183902,170,814637.5736,100,25.21303743,174,172,170,0.4424,183,0.4689,0.45565,191,0.6606,108,0.4252,209,158.3333333,357.8963231,163,347.4889352,170,0.291592694,0.271573514,0.602341293,188,188,0,Texas A&M Corpus Chris,16,S,2023
2023,Howard,71.0452,38,68.9681,99,103.037,176,103.701,204,101.975,141,106.914,212,-3.21361,215,-0.04522473,214,764012.7916,161,24.82679076,151,182.5,185,0.2617,270,0.5857,0.4237,209,0.3911,206,0.2161,303,212.5833333,812.3169023,253,501.7307844,214,0.15891629,0.241197765,0.52536547,236,236,0,Howard,16,W,2023
2023,Fairleigh Dickinson,69.2648,112,68.7636,110,108.88,61,106.175,155,108.232,297,118.425,361,-12.2499,312,-0.176857509,310,780831.1381,136,29.9914073,357,333.5,342,0.2156,292,0.2154,0.2155,310,0.1857,294,0.1554,330,285.5833333,1324.598021,291,1325.212684,308,0.124674487,0.108651377,0.423421743,304,304,1,Fairleigh Dickinson,16,E,2023
2022,Gonzaga,73.7703,6,72.4831,4,118.885,2,121.805,1,88.5732,3,88.836,7,32.9688,1,0.446914273,1,1094489.959,1,17.77709704,1,1,1,0.9786,1,0.966,0.9723,1,0.9753,1,0.9697,2,1.166666667,1.192179304,1,1.199904008,1,0.9786,0.9723,0.990106713,1,1,2,Gonzaga,1,W,2022
2022,Arizona,72.9192,13,72.1752,8,115.613,6,119.64,5,92.5195,14,92.431,20,27.2089,2,0.373139036,6,1043745.711,2,19.16312565,9,7.5,4,0.9434,4,0.9431,0.94325,5,0.9395,8,0.9672,3,5.25,5.56497774,2,5.565862709,2,0.808693005,0.778625398,0.9117035,2,2,2,Arizona,1,S,2022
2022,Houston,65.4652,309,63.8376,333,114.576,7,117.348,10,88.9612,4,90.8508,11,26.4976,4,0.404752449,2,901492.0131,15,20.76421468,25,13.5,10,0.9359,6,0.9777,0.9568,2,0.9351,9,0.9759,1,7.083333333,7.568472415,3,7.403149387,3,0.777969878,0.762144668,0.900760246,3,3,3,Houston,5,S,2022
