StREM,DV2,DV1,AN-H AVG,Barthag-AN,Barthag-H,Barthag-N,RPPF,Barthag-Mom,StRT+ Rank,NonCon Rank,StRDE,StRT+,RPPF Rank,ANH Rank,RankAdjEM,StREM Rank,powerfilter rank,champfilter rank,AN Rank,Mom Rank,StRDE Rank,AB6R,powerfilter,AdjEM,champfilter,RankAdjDE,RankAdjOE,AdjTempo,Tempo,StROE Rank,RankDE,RankOE,AdjDE,DE,OE,AdjOE,RankTempo,RankAdjTempo,StROE,Team
0.440694833,0.815789528,0.829553192,0.955,0.9466,0.9634,0.9374,0.924890996,0.9625,3,9,20.62046074,7.0,3,3,3,3,3,3,5,2,11,11.0,11.51832461,27.8106,11.62053666,4,18,61.5519,63.1058,42,10,46,88.4056,91.4732,111.583,116.216,322,317,852316.9469,Florida
0.471111731,0.852820172,0.867962756,0.9611,0.9515,0.9707,0.9609,0.94162599,0.9573,1,2,18.86699672,2.0,2,2,2,1,2,2,3,4,3,8.166666667,8.49720806,30.3964,8.582939219,1,24,63.1175,64.521,38,2,37,84.7964,88.8129,112.267,115.193,275,267,856156.7155,Arizona
0.442053308,0.96965,0.962,0.96965,0.9715,0.9678,0.9525,0.986187236,0.9834,1,4,18.86230602,2.0,1,1,1,2,1,1,1,1,2,3.166666667,3.265783186,30.5677,3.259564248,6,7,67.4981,69.1489,9,1,3,88.5345,88.0889,118.693,119.102,63,58,980896.951,Louisville
0.289853424,0.662316448,0.691171867,0.89005,0.859,0.9211,0.8986,0.855401103,0.8811,18,19,21.11687384,22.5,23,24,25,25,26,27,27,22,20,30.91666667,34.73587626,19.1162,35.99146294,12,57,63.4064,65.9523,73,19,87,92.2385,95.4338,108.213,111.355,205,253,817804.3007,Connecticut
