StREM,DV2,DV1,AN-H AVG,Barthag-AN,Barthag-H,Barthag-N,RPPF,Barthag-Mom,StRT+ Rank,NonCon Rank,StRDE,StRT+,RPPF Rank,ANH Rank,RankAdjEM,StREM Rank,powerfilter rank,champfilter rank,AN Rank,Mom Rank,StRDE Rank,AB6R,powerfilter,AdjEM,champfilter,RankAdjDE,RankAdjOE,AdjTempo,Tempo,StROE Rank,RankDE,RankOE,AdjDE,DE,OE,AdjOE,RankTempo,RankAdjTempo,StROE,Team
0.584450358,0.981115,0.98081,0.981115,0.98081,0.98142,0.98751,0.992341062,0.98611,1,1,20.18082597,3.0,1,1,1,1,1,1,1,1,5,2.333333333,2.378246519,38.723,2.378986076,4,2,65.9817,66.2549,7,3,1,89.9183,92.1587,124.748,128.641,280,261,1096419.669,Duke
0.522202821,0.932771196,0.943167034,0.978625,0.97992,0.97733,0.98592,0.974709986,0.96744,4,2,20.6114673,6.5,2,3,2,3,2,2,2,4,10,3.416666667,3.491293056,36.0964,3.486679185,10,1,68.3353,69.1241,2,33,3,93.5592,98.7034,121.799,129.656,125,128,1162023.01,Auburn
0.475705273,0.83050479,0.836078993,0.957125,0.93841,0.97584,0.95505,0.929648691,0.922718,3,5,20.17695493,4.5,5,6,4,5,4,4,10,18,4,7.083333333,7.400635584,33.4043,7.548228742,7,4,69.3342,70.221,4,15,10,93.2345,95.6138,118.979,126.639,71,74,1126164.816,Florida
0.480343638,0.766304005,0.800572051,0.95857,0.95765,0.95949,0.97194,0.906988665,0.915019,1,4,19.62654314,3.0,7,4,5,4,9,9,5,19,2,13.66666667,14.25734862,31.3898,14.27104544,1,27,63.7472,65.3478,48,4,50,87.6086,93.0296,113.565,118.998,317,344,925359.0905,Tennessee
0.364834394,0.754590656,0.772142579,0.940963,0.923016,0.95891,0.926418,0.89762154,0.953011,11,18,20.71513172,14.5,9,8,13,16,8,8,16,11,13,13.08333333,13.90419531,25.6934,14.17454663,20,18,70.3669,70.4262,11,40,32,94.9541,99.1325,114.571,120.648,60,47,1025119.535,Arizona
0.356273048,0.734059238,0.757674517,0.9350665,0.920917,0.949216,0.933815,0.889333248,0.91242,14,15,20.89680122,17.5,10,11,15,19,10,10,17,20,16,15.41666667,16.48724093,25.1958,16.74056041,21,16,70.1051,70.7216,10,13,18,95.7238,95.3656,117.728,120.92,47,53,1034066.228,Maryland
