,kenpom,tvk_H,tvk_A_N
152,Louisiana Monroe,Louisiana Monroe,Louisiana Monroe
153,Louisiana Tech,Louisiana Tech,Louisiana Tech
154,Louisville,Louisville,Louisville
155,Loyola Chicago,Loyola Chicago,Loyola Chicago
156,Loyola MD,Loyola MD,Loyola MD
157,Loyola Marymount,Loyola Marymount,Loyola Marymount
158,Maine,Maine,Maine
159,Manhattan,Manhattan,Manhattan
160,Marist,Marist,Marist
161,Marquette,Marquette,Marquette
162,Marshall,Marshall,Marshall
163,Maryland,Maryland,Maryland
164,Maryland Eastern Shore,Maryland Eastern Shore,Maryland Eastern Shore
165,Massachusetts,Massachusetts,Massachusetts
166,McNeese,McNeese,McNeese
167,Memphis,Memphis,Memphis
168,Mercer,Mercer,Mercer
169,Mercyhurst,Mercyhurst,Mercyhurst
170,Merrimack,Merrimack,Merrimack
171,Miami FL,Miami FL,Miami FL
172,Miami OH,Miami OH,Miami OH
173,Michigan,Michigan,Michigan
174,Michigan St.,Michigan St.,Michigan St.
175,Middle Tennessee,Middle Tennessee,Middle Tennessee
176,Milwaukee,Milwaukee,Milwaukee
177,Minnesota,Minnesota,Minnesota
178,Mississippi,Mississippi,Mississippi
179,Mississippi St.,Mississippi St.,Mississippi St.
180,Mississippi Valley St.,Mississippi Valley St.,Mississippi Valley St.
181,Missouri,Missouri,Missouri
182,Missouri St.,Missouri St.,Missouri St.
183,Monmouth,Monmouth,Monmouth
184,Montana,Montana,Montana
185,Montana St.,Montana St.,Montana St.
186,Morehead St.,Morehead St.,Morehead St.
187,Morgan St.,Morgan St.,Morgan St.
188,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's
189,Murray St.,Murray St.,Murray St.
190,N.C. State,N.C. State,N.C. State
191,NJIT,NJIT,NJIT
192,Navy,Navy,Navy
193,Nebraska,Nebraska,Nebraska
194,Nebraska Omaha,Nebraska Omaha,Nebraska Omaha
195,Nevada,Nevada,Nevada
196,New Hampshire,New Hampshire,New Hampshire
197,New Mexico,New Mexico,New Mexico
198,New Mexico St.,New Mexico St.,New Mexico St.
199,New Orleans,New Orleans,New Orleans
200,Niagara,Niagara,Niagara
201,Nicholls,Nicholls,Nicholls
202,Norfolk St.,Norfolk St.,Norfolk St.
203,North Alabama,North Alabama,North Alabama
204,North Carolina,North Carolina,North Carolina
205,North Carolina A&T,North Carolina A&T,North Carolina A&T
206,North Carolina Central,North Carolina Central,North Carolina Central
207,North Dakota,North Dakota,North Dakota
208,North Dakota St.,North Dakota St.,North Dakota St.
209,North Florida,North Florida,North Florida
210,North Texas,North Texas,North Texas
211,Northeastern,Northeastern,Northeastern
212,Northern Arizona,Northern Arizona,Northern Arizona
213,Northern Colorado,Northern Colorado,Northern Colorado
214,Northern Illinois,Northern Illinois,Northern Illinois
215,Northern Iowa,Northern Iowa,Northern Iowa
216,Northern Kentucky,Northern Kentucky,Northern Kentucky
217,Northwestern,Northwestern,Northwestern
218,Northwestern St.,Northwestern St.,Northwestern St.
219,Notre Dame,Notre Dame,Notre Dame
220,Oakland,Oakland,Oakland
221,Ohio,Ohio,Ohio
222,Ohio St.,Ohio St.,Ohio St.
223,Oklahoma,Oklahoma,Oklahoma
224,Oklahoma St.,Oklahoma St.,Oklahoma St.
225,Old Dominion,Old Dominion,Old Dominion
226,Oral Roberts,Oral Roberts,Oral Roberts
227,Oregon,Oregon,Oregon
228,Oregon St.,Oregon St.,Oregon St.
229,Pacific,Pacific,Pacific
230,Penn,Penn,Penn
231,Penn St.,Penn St.,Penn St.
232,Pepperdine,Pepperdine,Pepperdine
233,Pittsburgh,Pittsburgh,Pittsburgh
234,Portland,Portland,Portland
235,Portland St.,Portland St.,Portland St.
236,Prairie View A&M,Prairie View A&M,Prairie View A&M
237,Presbyterian,Presbyterian,Presbyterian
238,Princeton,Princeton,Princeton
239,Providence,Providence,Providence
240,Purdue,Purdue,Purdue
241,Purdue Fort Wayne,Purdue Fort Wayne,Purdue Fort Wayne
242,Queens,Queens,Queens
243,Quinnipiac,Quinnipiac,Quinnipiac
244,Radford,Radford,Radford
245,Rhode Island,Rhode Island,Rhode Island
246,Rice,Rice,Rice
247,Richmond,Richmond,Richmond
248,Rider,Rider,Rider
249,Robert Morris,Robert Morris,Robert Morris
250,Rutgers,Rutgers,Rutgers
251,SIUE,SIUE,SIUE
252,SMU,SMU,SMU
253,Sacramento St.,Sacramento St.,Sacramento St.
254,Sacred Heart,Sacred Heart,Sacred Heart
255,Saint Francis,Saint Francis,Saint Francis
256,Saint Joseph's,Saint Joseph's,Saint Joseph's
257,Saint Louis,Saint Louis,Saint Louis
258,Saint Mary's,Saint Mary's,Saint Mary's
259,Saint Peter's,Saint Peter's,Saint Peter's
260,Sam Houston St.,Sam Houston St.,Sam Houston St.
261,Samford,Samford,Samford
262,San Diego,San Diego,San Diego
263,San Diego St.,San Diego St.,San Diego St.
264,San Francisco,San Francisco,San Francisco
265,San Jose St.,San Jose St.,San Jose St.
266,Santa Clara,Santa Clara,Santa Clara
267,Seattle,Seattle,Seattle
268,Seton Hall,Seton Hall,Seton Hall
269,Siena,Siena,Siena
270,South Alabama,South Alabama,South Alabama
271,South Carolina,South Carolina,South Carolina
272,South Carolina St.,South Carolina St.,South Carolina St.
273,South Dakota,South Dakota,South Dakota
274,South Dakota St.,South Dakota St.,South Dakota St.
275,South Florida,South Florida,South Florida
276,Southeast Missouri,Southeast Missouri,Southeast Missouri
277,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana
278,Southern,Southern,Southern
279,Southern Illinois,Southern Illinois,Southern Illinois
280,Southern Indiana,Southern Indiana,Southern Indiana
281,Southern Miss,Southern Miss,Southern Miss
282,Southern Utah,Southern Utah,Southern Utah
